date,open,high,low,close,volume
2009-12-16,20.7374,20.8986,20.4522,20.4729,972649
2009-12-17,20.3778,20.3943,19.8736,19.8984,1277878
2009-12-18,19.9852,19.9852,19.4604,19.6257,1651220
2009-12-21,19.6546,20.0348,19.6546,19.824,1150842
2009-12-22,19.7745,19.9811,19.7208,19.8654,1217381
2009-12-23,19.9357,20.0225,19.8572,19.977,653860
2009-12-24,20.0141,20.2497,20.0141,20.1629,158113
2009-12-28,20.1959,20.415,20.1959,20.3695,908838
2009-12-29,20.3489,20.5969,20.2869,20.4233,661216
2009-12-30,20.3572,20.4192,20.2332,20.32,481861
2009-12-31,20.3489,20.4357,19.9852,19.9852,474421
2010-01-04,20.1216,20.2042,19.9315,20.0596,1449878
2010-01-05,19.9976,20.039,19.6918,19.9811,1341441
2010-01-06,20.0927,20.2043,19.9026,20.0431,1837849
2010-01-07,20.0101,20.3324,19.7869,20.2952,1597167
2010-01-08,20.196,20.4026,20.0637,20.3778,918096
2010-01-11,20.448,20.5927,20.0596,20.572,1352016
2010-01-12,20.4935,20.8365,20.3943,20.4811,1554266
2010-01-13,20.5349,20.7043,20.4026,20.6506,1324829
2010-01-14,20.6423,20.7332,20.4232,20.6216,1241429
2010-01-15,20.6836,20.8283,20.4605,20.5638,1882646
2010-01-19,20.5761,20.8572,20.4232,20.6588,1320692
2010-01-20,20.4687,20.5555,20.167,20.2662,1299037
2010-01-21,21.7168,22.221,21.6094,22.1218,7145511
2010-01-22,22.1052,22.3077,21.8532,21.973,2355248
2010-01-25,22.1548,22.2458,21.8821,21.973,1778007
2010-01-26,21.9564,22.3036,21.8407,22.13,1908346
2010-01-27,22.0845,22.2127,21.7994,22.1672,1571540
2010-01-28,21.973,22.2086,21.816,21.9193,2191517
2010-01-29,22.0143,22.0309,21.535,21.7044,2221188
2010-02-01,21.8366,22.2912,21.6754,22.2333,2444754
2010-02-02,22.1259,23.2623,22.1176,23.1425,3033238
2010-02-03,22.969,23.5227,22.8574,23.3781,2238297
2010-02-04,23.1714,23.2996,22.9028,23.0764,2164652
2010-02-05,22.9896,23.0186,22.4028,22.8946,1870166
2010-02-08,22.8987,23.5475,22.8821,23.0061,1967358
2010-02-09,23.1921,23.3987,22.9607,23.2458,2125885
2010-02-10,23.1053,23.3657,22.9359,23.1673,1589477
2010-02-11,23.1715,23.5352,22.9938,23.5021,1352435
2010-02-12,23.2211,23.4938,23.0764,23.4153,1588901
2010-02-16,23.531,24.155,23.531,24.1178,1275400
2010-02-17,24.1798,24.3864,24.0888,24.3244,1093813
2010-02-18,24.2832,24.651,24.2336,24.5931,1267716
2010-02-19,24.5434,24.5476,24.2541,24.312,1224568
2010-02-22,24.3162,24.5063,24.3079,24.4195,933305
2010-02-23,24.3699,24.5848,24.2129,24.2418,1027363
2010-02-24,24.341,24.8245,24.341,24.7997,1975463
2010-02-25,24.6385,25.0807,24.3782,25.0311,1767426
2010-02-26,25.1014,25.1014,24.7956,24.8493,1036372
2010-03-01,24.9815,25.7171,24.9154,25.6882,2510633
2010-03-02,25.6716,25.7047,25.3906,25.5022,2358055
2010-03-03,25.465,25.5725,25.2377,25.2832,1222586
